trade_num,timestamp_utc,timestamp_est,track,side,qty,entry_price,sl_price,tp_price,exit_price,duration_sec,gross_pnl,commission,net_pnl,balance,buffer_to_floor,outcome
1,2026-09-04 09:57:58,05:57:58 AM,Track A,SELL,0.1,4468.61,4468.76,4466.61,4467.86,25,7.50,0.70,6.80,4782.46,82.46,RATCHET_WIN
2,2026-09-04 10:01:23,06:01:23 AM,Track A,SELL,0.1,4466.93,4467.08,4464.93,4467.08,7,-1.50,0.70,-2.20,4780.26,80.26,STOP_LOSS
3,2026-09-04 10:22:22,06:22:22 AM,Track A,SELL,0.1,4470.14,4470.29,4468.14,4468.14,111,20.00,0.70,19.30,4799.56,99.56,WIN_TP
4,2026-09-04 10:26:34,06:26:34 AM,Track A,SELL,0.1,4469.87,4470.02,4467.87,4467.87,7,20.00,0.70,19.30,4818.86,118.86,WIN_TP
5,2026-09-04 10:38:20,06:38:20 AM,Track A,SELL,0.1,4470.16,4470.31,4468.16,4469.41,19,7.50,0.70,6.80,4825.66,125.66,RATCHET_WIN
6,2026-09-04 10:40:34,06:40:34 AM,Track A,BUY,0.1,4473.46,4473.31,4475.46,4473.31,4,-1.50,0.70,-2.20,4823.46,123.46,STOP_LOSS
7,2026-09-04 10:45:22,06:45:22 AM,Track A,BUY,0.1,4473.59,4473.44,4475.59,4475.59,93,20.00,0.70,19.30,4842.76,142.76,WIN_TP
8,2026-09-04 10:50:25,06:50:25 AM,Track A,BUY,0.1,4474.90,4474.75,4476.90,4474.97,30,0.70,0.70,0.00,4842.76,142.76,BE_PROTECTED
9,2026-09-04 10:56:24,06:56:24 AM,Track A,BUY,0.1,4474.26,4474.11,4476.26,4474.11,4,-1.50,0.70,-2.20,4840.56,140.56,STOP_LOSS
10,2026-09-04 10:58:47,06:58:47 AM,Track A,BUY,0.1,4474.72,4474.57,4476.72,4474.57,1,-1.50,0.70,-2.20,4838.36,138.36,STOP_LOSS
11,2026-09-04 10:58:47,06:58:47 AM,Track A,SELL,0.1,4474.72,4474.87,4472.72,4474.87,11,-1.50,0.70,-2.20,4836.16,136.16,STOP_LOSS
12,2026-09-04 11:02:22,07:02:22 AM,Track A,BUY,0.1,4472.79,4472.64,4474.79,4472.64,8,-1.50,0.70,-2.20,4833.96,133.96,STOP_LOSS
13,2026-09-04 11:10:30,07:10:30 AM,Track A,SELL,0.1,4470.39,4470.54,4468.39,4470.54,22,-1.50,0.70,-2.20,4831.76,131.76,STOP_LOSS
14,2026-09-04 11:15:20,07:15:20 AM,Track A,SELL,0.1,4470.17,4470.32,4468.17,4470.32,72,-1.50,0.70,-2.20,4829.56,129.56,STOP_LOSS
15,2026-09-04 11:21:21,07:21:21 AM,Track A,SELL,0.1,4467.70,4467.85,4465.70,4467.85,11,-1.50,0.70,-2.20,4827.36,127.36,STOP_LOSS
16,2026-09-04 11:25:20,07:25:20 AM,Track A,SELL,0.1,4467.32,4467.47,4465.32,4466.57,39,7.50,0.70,6.80,4834.16,134.16,RATCHET_WIN
17,2026-09-04 11:30:32,07:30:32 AM,Track A,SELL,0.1,4465.93,4466.08,4463.93,4466.08,7,-1.50,0.70,-2.20,4831.96,131.96,STOP_LOSS
18,2026-09-04 11:36:20,07:36:20 AM,Track A,SELL,0.1,4466.98,4467.13,4464.98,4467.13,13,-1.50,0.70,-2.20,4829.76,129.76,STOP_LOSS
19,2026-09-04 11:42:20,07:42:20 AM,Track A,SELL,0.1,4468.39,4468.54,4466.39,4466.39,24,20.00,0.70,19.30,4849.06,149.06,WIN_TP
