t,datetime_utc,datetime_est,o,h,l,c,v
1788393600,2026-09-03 00:00:00,2026-09-02 20:00:00,4385.67,4388.0,4384.6,4387.48,569
1788393660,2026-09-03 00:01:00,2026-09-02 20:01:00,4387.48,4387.48,4385.61,4386.17,360
1788393720,2026-09-03 00:02:00,2026-09-02 20:02:00,4386.19,4386.34,4384.9,4386.07,375
1788393780,2026-09-03 00:03:00,2026-09-02 20:03:00,4386.07,4387.97,4386.04,4387.83,399
1788393840,2026-09-03 00:04:00,2026-09-02 20:04:00,4387.85,4389.7,4387.71,4389.3,389
1788393900,2026-09-03 00:05:00,2026-09-02 20:05:00,4389.29,4390.41,4389.02,4390.05,354
1788393960,2026-09-03 00:06:00,2026-09-02 20:06:00,4390.05,4390.81,4388.76,4389.53,330
1788394020,2026-09-03 00:07:00,2026-09-02 20:07:00,4389.44,4389.44,4387.16,4387.59,339
1788394080,2026-09-03 00:08:00,2026-09-02 20:08:00,4387.61,4387.63,4385.84,4386.43,369
1788394140,2026-09-03 00:09:00,2026-09-02 20:09:00,4386.5,4387.18,4384.99,4387.13,318
1788394200,2026-09-03 00:10:00,2026-09-02 20:10:00,4387.12,4389.57,4387.1,4389.55,350
1788394260,2026-09-03 00:11:00,2026-09-02 20:11:00,4389.54,4392.5,4389.54,4392.27,366
1788394320,2026-09-03 00:12:00,2026-09-02 20:12:00,4392.27,4392.54,4390.85,4390.94,340
1788394380,2026-09-03 00:13:00,2026-09-02 20:13:00,4390.93,4390.93,4389.33,4390.7,282
1788394440,2026-09-03 00:14:00,2026-09-02 20:14:00,4390.68,4390.73,4389.94,4390.35,242
1788394500,2026-09-03 00:15:00,2026-09-02 20:15:00,4390.33,4390.4,4385.51,4386.04,529
1788394560,2026-09-03 00:16:00,2026-09-02 20:16:00,4386.08,4386.55,4385.33,4386.03,249
1788394620,2026-09-03 00:17:00,2026-09-02 20:17:00,4386.06,4388.35,4386.06,4387.44,302
1788394680,2026-09-03 00:18:00,2026-09-02 20:18:00,4387.44,4389.08,4387.44,4387.98,334
1788394740,2026-09-03 00:19:00,2026-09-02 20:19:00,4388.01,4388.69,4386.86,4386.99,265
1788394800,2026-09-03 00:20:00,2026-09-02 20:20:00,4386.99,4387.77,4386.36,4386.77,359
1788394860,2026-09-03 00:21:00,2026-09-02 20:21:00,4386.72,4386.74,4385.31,4386.16,286
1788394920,2026-09-03 00:22:00,2026-09-02 20:22:00,4386.18,4387.84,4386.17,4386.99,309
1788394980,2026-09-03 00:23:00,2026-09-02 20:23:00,4387.0,4387.96,4386.28,4387.45,308
1788395040,2026-09-03 00:24:00,2026-09-02 20:24:00,4387.52,4387.96,4386.19,4387.92,292
1788395100,2026-09-03 00:25:00,2026-09-02 20:25:00,4387.93,4388.88,4387.57,4388.88,343
1788395160,2026-09-03 00:26:00,2026-09-02 20:26:00,4388.89,4390.27,4388.62,4389.2,301
1788395220,2026-09-03 00:27:00,2026-09-02 20:27:00,4389.23,4389.53,4388.69,4388.73,275
1788395280,2026-09-03 00:28:00,2026-09-02 20:28:00,4388.74,4388.76,4387.04,4387.36,372
1788395340,2026-09-03 00:29:00,2026-09-02 20:29:00,4387.39,4387.91,4387.1,4387.23,264
1788395400,2026-09-03 00:30:00,2026-09-02 20:30:00,4387.23,4387.25,4385.66,4385.68,315
