t,o,h,l,c,v,datetime_utc
1788354000,4331.45,4341.7,4330.85,4338.64,4646.0,2026-09-02 13:00:00
1788354300,4338.62,4344.22,4338.4,4341.95,3686.0,2026-09-02 13:05:00
1788354600,4341.95,4344.51,4337.61,4339.53,2944.0,2026-09-02 13:10:00
1788354900,4339.56,4344.38,4336.66,4342.39,2934.0,2026-09-02 13:15:00
1788355200,4342.42,4348.28,4342.04,4348.03,3384.0,2026-09-02 13:20:00
1788355500,4348.04,4358.59,4347.53,4358.43,5425.0,2026-09-02 13:25:00
1788355800,4358.31,4365.59,4357.03,4364.77,2521.0,2026-09-02 13:30:00
1788356100,4364.77,4367.78,4362.47,4363.98,3853.0,2026-09-02 13:35:00
1788356400,4366.8,4375.83,4366.79,4374.19,3636.0,2026-09-02 13:40:00
1788356700,4374.14,4379.55,4368.31,4368.59,3149.0,2026-09-02 13:45:00
1788357000,4368.55,4378.25,4367.81,4377.0,3940.0,2026-09-02 13:50:00
1788357300,4376.99,4385.64,4374.51,4385.34,3170.0,2026-09-02 13:55:00
1788357600,4385.42,4385.69,4378.93,4382.54,3553.0,2026-09-02 14:00:00
1788357900,4388.93,4394.17,4386.63,4392.91,3734.0,2026-09-02 14:05:00
1788358200,4392.9,4397.69,4389.76,4393.62,4096.0,2026-09-02 14:10:00
1788358500,4388.51,4392.7,4384.98,4392.23,5654.0,2026-09-02 14:15:00
1788358800,4392.2,4397.32,4386.84,4387.24,5555.0,2026-09-02 14:20:00
1788359100,4387.26,4390.39,4385.43,4387.62,4913.0,2026-09-02 14:25:00
1788359400,4387.63,4388.22,4382.92,4386.52,5237.0,2026-09-02 14:30:00
1788359700,4386.51,4387.71,4382.31,4382.77,4683.0,2026-09-02 14:35:00
1788360000,4382.78,4386.08,4381.37,4385.54,4564.0,2026-09-02 14:40:00
1788360300,4385.53,4386.91,4378.89,4381.0,4291.0,2026-09-02 14:45:00
1788360600,4381.01,4382.44,4376.03,4376.95,4284.0,2026-09-02 14:50:00
1788360900,4376.93,4378.53,4374.34,4376.97,3590.0,2026-09-02 14:55:00
1788361200,4376.96,4380.84,4374.14,4377.68,4595.0,2026-09-02 15:00:00
1788361500,4377.73,4380.64,4373.76,4376.49,4301.0,2026-09-02 15:05:00
1788361800,4376.52,4378.18,4372.62,4372.84,4435.0,2026-09-02 15:10:00
1788362100,4372.83,4372.83,4368.9,4369.9,3755.0,2026-09-02 15:15:00
1788362400,4369.94,4371.59,4365.61,4370.11,3878.0,2026-09-02 15:20:00
1788362700,4370.1,4373.04,4367.37,4372.68,3893.0,2026-09-02 15:25:00
1788363000,4372.67,4375.22,4371.08,4371.33,3813.0,2026-09-02 15:30:00
1788363300,4371.32,4372.61,4367.48,4370.44,3506.0,2026-09-02 15:35:00
1788363600,4370.42,4372.21,4366.05,4366.27,3196.0,2026-09-02 15:40:00
1788363900,4366.26,4369.65,4364.61,4367.87,3129.0,2026-09-02 15:45:00
1788364200,4367.84,4369.74,4367.28,4368.65,2936.0,2026-09-02 15:50:00
1788364500,4368.66,4373.94,4367.99,4373.11,2905.0,2026-09-02 15:55:00
1788364800,4373.01,4374.82,4371.36,4373.03,3082.0,2026-09-02 16:00:00
1788365100,4373.0,4373.29,4368.87,4370.49,2948.0,2026-09-02 16:05:00
1788365400,4370.5,4373.22,4370.28,4372.42,2460.0,2026-09-02 16:10:00
1788365700,4372.41,4372.45,4367.91,4369.94,2666.0,2026-09-02 16:15:00
1788366000,4369.95,4370.95,4368.69,4369.55,2356.0,2026-09-02 16:20:00
1788366300,4369.48,4370.23,4367.68,4368.69,2398.0,2026-09-02 16:25:00
1788366600,4368.67,4370.53,4367.26,4367.28,2845.0,2026-09-02 16:30:00
1788366900,4367.31,4368.98,4366.2,4368.59,2551.0,2026-09-02 16:35:00
1788367200,4368.56,4368.59,4364.49,4364.92,2190.0,2026-09-02 16:40:00
1788367500,4364.92,4366.68,4364.6,4365.99,2062.0,2026-09-02 16:45:00
1788367800,4366.01,4370.72,4364.74,4369.96,2447.0,2026-09-02 16:50:00
1788368100,4369.95,4370.36,4367.91,4368.29,1991.0,2026-09-02 16:55:00
1788368400,4368.28,4370.74,4367.85,4370.74,2110.0,2026-09-02 17:00:00
1788368700,4370.73,4371.11,4368.92,4370.03,2117.0,2026-09-02 17:05:00
1788369000,4370.01,4370.55,4367.59,4368.87,1998.0,2026-09-02 17:10:00
1788369300,4368.89,4369.06,4364.59,4365.37,2040.0,2026-09-02 17:15:00
1788369600,4365.35,4367.42,4364.65,4367.13,2002.0,2026-09-02 17:20:00
1788369900,4367.08,4369.92,4366.94,4369.89,2381.0,2026-09-02 17:25:00
1788370200,4369.91,4371.58,4368.08,4368.08,2092.0,2026-09-02 17:30:00
1788370500,4368.08,4369.52,4366.56,4366.61,1690.0,2026-09-02 17:35:00
1788370800,4366.6,4377.72,4366.56,4376.54,3067.0,2026-09-02 17:40:00
1788371100,4376.52,4380.73,4375.46,4376.0,3655.0,2026-09-02 17:45:00
1788371400,4376.03,4377.53,4375.39,4376.21,1974.0,2026-09-02 17:50:00
1788371700,4376.14,4378.45,4375.77,4376.94,1598.0,2026-09-02 17:55:00
1788372000,4376.95,4377.57,4372.16,4375.02,2568.0,2026-09-02 18:00:00
1788372300,4375.01,4375.7,4373.3,4373.6,2214.0,2026-09-02 18:05:00
1788372600,4373.58,4374.03,4370.19,4370.27,1885.0,2026-09-02 18:10:00
1788372900,4370.25,4379.48,4369.31,4376.44,2440.0,2026-09-02 18:15:00
1788373200,4376.47,4379.78,4372.26,4373.22,3932.0,2026-09-02 18:20:00
1788373500,4373.23,4373.86,4371.85,4373.1,2254.0,2026-09-02 18:25:00
1788373800,4373.07,4378.14,4372.81,4376.59,2158.0,2026-09-02 18:30:00
