t,datetime_utc,datetime_est,o,h,l,c,v
1788429600,2026-09-03 10:00:00,2026-09-03 06:00:00,4427.56,4428.46,4425.53,4427.38,2281
1788429900,2026-09-03 10:05:00,2026-09-03 06:05:00,4427.39,4429.94,4425.26,4425.36,2022
1788430200,2026-09-03 10:10:00,2026-09-03 06:10:00,4425.31,4425.79,4423.17,4424.57,2464
1788430500,2026-09-03 10:15:00,2026-09-03 06:15:00,4424.56,4425.74,4421.87,4422.13,2069
1788430800,2026-09-03 10:20:00,2026-09-03 06:20:00,4422.13,4423.0,4418.85,4419.96,1716
1788431100,2026-09-03 10:25:00,2026-09-03 06:25:00,4419.96,4424.16,4419.96,4422.64,2207
1788431400,2026-09-03 10:30:00,2026-09-03 06:30:00,4422.65,4424.28,4420.1,4422.65,2265
1788431700,2026-09-03 10:35:00,2026-09-03 06:35:00,4422.65,4424.94,4422.08,4424.51,2133
1788432000,2026-09-03 10:40:00,2026-09-03 06:40:00,4424.52,4426.41,4424.19,4425.75,1675
1788432300,2026-09-03 10:45:00,2026-09-03 06:45:00,4425.75,4426.7,4424.27,4424.72,1455
1788432600,2026-09-03 10:50:00,2026-09-03 06:50:00,4424.72,4428.17,4424.26,4428.08,1522
1788432900,2026-09-03 10:55:00,2026-09-03 06:55:00,4428.09,4428.6,4426.99,4427.37,1676
1788433200,2026-09-03 11:00:00,2026-09-03 07:00:00,4427.26,4429.26,4425.15,4426.43,2475
1788433500,2026-09-03 11:05:00,2026-09-03 07:05:00,4426.41,4431.16,4425.95,4430.84,2280
1788433800,2026-09-03 11:10:00,2026-09-03 07:10:00,4430.81,4432.84,4430.19,4432.77,2223
1788434100,2026-09-03 11:15:00,2026-09-03 07:15:00,4432.75,4438.13,4432.48,4434.37,2920
1788434400,2026-09-03 11:20:00,2026-09-03 07:20:00,4434.38,4434.74,4430.8,4431.4,1985
1788434700,2026-09-03 11:25:00,2026-09-03 07:25:00,4431.39,4435.3,4430.44,4434.45,2204
1788435000,2026-09-03 11:30:00,2026-09-03 07:30:00,4434.51,4435.56,4426.7,4434.4,2526
1788435300,2026-09-03 11:35:00,2026-09-03 07:35:00,4434.41,4436.91,4434.34,4435.79,1827
1788435600,2026-09-03 11:40:00,2026-09-03 07:40:00,4435.79,4439.34,4435.61,4438.82,1654
1788435900,2026-09-03 11:45:00,2026-09-03 07:45:00,4438.83,4440.76,4436.77,4439.26,2187
1788436200,2026-09-03 11:50:00,2026-09-03 07:50:00,4439.28,4441.87,4438.15,4440.16,1946
