t,o,h,l,c,v,datetime_utc
1788429600,4427.56,4428.46,4425.53,4427.38,2281.0,2026-09-03 10:00:00
1788429900,4427.39,4429.94,4425.26,4425.36,2022.0,2026-09-03 10:05:00
1788430200,4425.31,4425.79,4423.17,4424.57,2464.0,2026-09-03 10:10:00
1788430500,4424.56,4425.74,4421.87,4422.13,2069.0,2026-09-03 10:15:00
1788430800,4422.13,4423.0,4418.85,4419.96,1716.0,2026-09-03 10:20:00
1788431100,4419.96,4424.16,4419.96,4422.64,2207.0,2026-09-03 10:25:00
1788431400,4422.65,4424.28,4420.1,4422.65,2265.0,2026-09-03 10:30:00
1788431700,4422.65,4424.94,4422.08,4424.51,2133.0,2026-09-03 10:35:00
1788432000,4424.52,4426.41,4424.19,4425.75,1675.0,2026-09-03 10:40:00
1788432300,4425.75,4426.7,4424.27,4424.72,1455.0,2026-09-03 10:45:00
1788432600,4424.72,4428.17,4424.26,4428.08,1522.0,2026-09-03 10:50:00
1788432900,4428.09,4428.6,4426.99,4427.37,1676.0,2026-09-03 10:55:00
1788433200,4427.26,4429.26,4425.15,4426.43,2475.0,2026-09-03 11:00:00
1788433500,4426.41,4431.16,4425.95,4430.84,2280.0,2026-09-03 11:05:00
1788433800,4430.81,4432.84,4430.19,4432.77,2223.0,2026-09-03 11:10:00
1788434100,4432.75,4438.13,4432.48,4434.37,2920.0,2026-09-03 11:15:00
1788434400,4434.38,4434.74,4430.8,4431.4,1985.0,2026-09-03 11:20:00
1788434700,4431.39,4435.3,4430.44,4434.45,2204.0,2026-09-03 11:25:00
1788435000,4434.51,4435.56,4426.7,4434.4,2526.0,2026-09-03 11:30:00
1788435300,4434.41,4436.91,4434.34,4435.79,1827.0,2026-09-03 11:35:00
1788435600,4435.79,4439.34,4435.61,4438.82,1654.0,2026-09-03 11:40:00
1788435900,4438.83,4440.76,4436.77,4439.26,2187.0,2026-09-03 11:45:00
1788436200,4439.28,4441.87,4438.15,4440.16,1946.0,2026-09-03 11:50:00
1788436500,4440.17,4445.97,4439.8,4444.26,2000.0,2026-09-03 11:55:00
1788436800,4444.25,4448.6,4441.2,4448.35,3015.0,2026-09-03 12:00:00
1788437100,4448.36,4449.02,4445.1,4448.75,2623.0,2026-09-03 12:05:00
1788437400,4448.76,4450.22,4443.36,4443.97,2697.0,2026-09-03 12:10:00
1788437700,4443.85,4444.57,4440.86,4441.43,2669.0,2026-09-03 12:15:00
1788438000,4441.42,4449.17,4437.88,4446.7,3448.0,2026-09-03 12:20:00
1788438300,4446.68,4449.08,4446.18,4447.02,2560.0,2026-09-03 12:25:00
1788438600,4446.65,4469.91,4446.65,4467.94,6397.0,2026-09-03 12:30:00
1788438900,4467.93,4478.82,4459.85,4475.71,7285.0,2026-09-03 12:35:00
1788439200,4475.75,4477.43,4464.92,4467.93,5180.0,2026-09-03 12:40:00
1788439500,4467.9,4480.33,4465.63,4480.11,4845.0,2026-09-03 12:45:00
1788439800,4480.14,4492.29,4479.63,4491.26,4840.0,2026-09-03 12:50:00
1788440100,4491.19,4495.31,4489.97,4493.62,4798.0,2026-09-03 12:55:00
1788440400,4493.67,4496.04,4488.38,4490.01,6679.0,2026-09-03 13:00:00
1788440700,4490.06,4494.0,4486.0,4488.11,4726.0,2026-09-03 13:05:00
1788441000,4488.13,4490.32,4484.86,4485.84,4525.0,2026-09-03 13:10:00
1788441300,4485.85,4487.95,4479.31,4479.91,4391.0,2026-09-03 13:15:00
1788441600,4479.92,4484.64,4478.54,4483.66,4081.0,2026-09-03 13:20:00
1788441900,4483.62,4484.06,4477.03,4479.92,3906.0,2026-09-03 13:25:00
1788442200,4479.97,4482.41,4474.35,4477.63,6090.0,2026-09-03 13:30:00
1788442500,4477.57,4480.05,4472.56,4474.68,3979.0,2026-09-03 13:35:00
1788442800,4474.69,4476.83,4468.19,4470.1,3408.0,2026-09-03 13:40:00
1788443100,4470.11,4470.34,4457.99,4458.25,4172.0,2026-09-03 13:45:00
1788443400,4458.24,4464.87,4456.9,4463.48,4709.0,2026-09-03 13:50:00
1788443700,4463.46,4471.51,4460.01,4470.93,6230.0,2026-09-03 13:55:00
1788444000,4470.57,4470.59,4457.25,4465.38,5460.0,2026-09-03 14:00:00
1788444300,4465.37,4473.01,4462.36,4462.66,4537.0,2026-09-03 14:05:00
1788444600,4462.62,4469.71,4461.58,4469.4,4975.0,2026-09-03 14:10:00
1788444900,4469.39,4476.53,4464.57,4475.3,5610.0,2026-09-03 14:15:00
1788445200,4475.34,4480.84,4472.08,4475.87,6718.0,2026-09-03 14:20:00
1788445500,4476.0,4478.24,4470.78,4477.48,4854.0,2026-09-03 14:25:00
