t,o,h,l,c,v,datetime_utc,datetime_est
1788472800000,4470.83,4477.68,4470.83,4476.39,1413.0,2026-09-03 22:00:00+00:00,2026-09-03 18:00:00+00:00
1788473100000,4476.35,4477.32,4475.47,4475.75,567.0,2026-09-03 22:05:00+00:00,2026-09-03 18:05:00+00:00
1788473400000,4475.73,4478.38,4474.37,4478.2,896.0,2026-09-03 22:10:00+00:00,2026-09-03 18:10:00+00:00
1788473700000,4478.15,4478.76,4476.44,4476.65,788.0,2026-09-03 22:15:00+00:00,2026-09-03 18:15:00+00:00
1788474000000,4476.64,4476.8,4474.87,4474.96,589.0,2026-09-03 22:20:00+00:00,2026-09-03 18:20:00+00:00
1788474300000,4474.96,4475.69,4474.22,4474.99,600.0,2026-09-03 22:25:00+00:00,2026-09-03 18:25:00+00:00
1788474600000,4474.93,4476.6,4474.19,4474.85,698.0,2026-09-03 22:30:00+00:00,2026-09-03 18:30:00+00:00
1788474900000,4474.85,4474.93,4472.78,4472.81,761.0,2026-09-03 22:35:00+00:00,2026-09-03 18:35:00+00:00
1788475200000,4472.81,4476.42,4472.77,4473.89,832.0,2026-09-03 22:40:00+00:00,2026-09-03 18:40:00+00:00
1788475500000,4473.88,4474.95,4471.45,4474.41,928.0,2026-09-03 22:45:00+00:00,2026-09-03 18:45:00+00:00
1788475800000,4474.39,4475.89,4471.99,4474.57,1213.0,2026-09-03 22:50:00+00:00,2026-09-03 18:50:00+00:00
1788476100000,4474.59,4475.27,4473.68,4474.55,506.0,2026-09-03 22:55:00+00:00,2026-09-03 18:55:00+00:00
1788476400000,4474.52,4476.7,4474.44,4476.58,628.0,2026-09-03 23:00:00+00:00,2026-09-03 19:00:00+00:00
1788476700000,4476.58,4477.68,4472.59,4475.87,914.0,2026-09-03 23:05:00+00:00,2026-09-03 19:05:00+00:00
1788477000000,4475.88,4476.16,4473.92,4474.26,529.0,2026-09-03 23:10:00+00:00,2026-09-03 19:10:00+00:00
1788477300000,4474.27,4475.13,4471.72,4473.46,781.0,2026-09-03 23:15:00+00:00,2026-09-03 19:15:00+00:00
1788477600000,4473.46,4473.46,4472.09,4472.37,659.0,2026-09-03 23:20:00+00:00,2026-09-03 19:20:00+00:00
1788477900000,4472.37,4474.61,4472.29,4473.86,619.0,2026-09-03 23:25:00+00:00,2026-09-03 19:25:00+00:00
1788478200000,4473.88,4476.17,4473.64,4474.87,855.0,2026-09-03 23:30:00+00:00,2026-09-03 19:30:00+00:00
1788478500000,4474.86,4478.29,4474.81,4477.88,756.0,2026-09-03 23:35:00+00:00,2026-09-03 19:35:00+00:00
1788478800000,4477.88,4478.35,4476.68,4477.4,557.0,2026-09-03 23:40:00+00:00,2026-09-03 19:40:00+00:00
1788479100000,4477.39,4477.39,4475.01,4475.08,862.0,2026-09-03 23:45:00+00:00,2026-09-03 19:45:00+00:00
1788479400000,4475.1,4479.53,4475.05,4477.24,1186.0,2026-09-03 23:50:00+00:00,2026-09-03 19:50:00+00:00
1788479700000,4477.25,4480.36,4477.25,4480.12,1021.0,2026-09-03 23:55:00+00:00,2026-09-03 19:55:00+00:00
1788480000000,4480.12,4481.07,4478.28,4481.05,1689.0,2026-09-04 00:00:00+00:00,2026-09-03 20:00:00+00:00
1788480300000,4481.06,4483.08,4479.75,4480.08,1825.0,2026-09-04 00:05:00+00:00,2026-09-03 20:05:00+00:00
1788480600000,4480.07,4483.3,4479.55,4480.89,1465.0,2026-09-04 00:10:00+00:00,2026-09-03 20:10:00+00:00
1788480900000,4480.86,4481.03,4476.55,4477.1,1310.0,2026-09-04 00:15:00+00:00,2026-09-03 20:15:00+00:00
1788481200000,4477.1,4479.77,4476.4,4477.84,1345.0,2026-09-04 00:20:00+00:00,2026-09-03 20:20:00+00:00
1788481500000,4477.81,4477.82,4474.31,4474.58,1387.0,2026-09-04 00:25:00+00:00,2026-09-03 20:25:00+00:00
1788481800000,4474.57,4479.54,4472.74,4479.34,1632.0,2026-09-04 00:30:00+00:00,2026-09-03 20:30:00+00:00
1788482100000,4479.34,4479.53,4476.2,4476.27,1272.0,2026-09-04 00:35:00+00:00,2026-09-03 20:35:00+00:00
1788482400000,4476.32,4482.22,4475.96,4482.22,1527.0,2026-09-04 00:40:00+00:00,2026-09-03 20:40:00+00:00
1788482700000,4482.22,4485.03,4481.4,4481.4,1519.0,2026-09-04 00:45:00+00:00,2026-09-03 20:45:00+00:00
1788483000000,4481.41,4484.3,4480.79,4482.03,1615.0,2026-09-04 00:50:00+00:00,2026-09-03 20:50:00+00:00
1788483300000,4482.06,4487.25,4481.67,4486.37,1763.0,2026-09-04 00:55:00+00:00,2026-09-03 20:55:00+00:00
1788483600000,4486.42,4487.39,4478.01,4478.17,4103.0,2026-09-04 01:00:00+00:00,2026-09-03 21:00:00+00:00
1788483900000,4478.04,4480.06,4475.17,4477.95,2826.0,2026-09-04 01:05:00+00:00,2026-09-03 21:05:00+00:00
1788484200000,4477.88,4483.06,4474.44,4474.92,2281.0,2026-09-04 01:10:00+00:00,2026-09-03 21:10:00+00:00
1788484500000,4474.92,4478.96,4474.47,4475.83,2556.0,2026-09-04 01:15:00+00:00,2026-09-03 21:15:00+00:00
1788484800000,4475.88,4478.95,4474.61,4474.81,2478.0,2026-09-04 01:20:00+00:00,2026-09-03 21:20:00+00:00
1788485100000,4474.77,4475.95,4467.97,4470.99,2890.0,2026-09-04 01:25:00+00:00,2026-09-03 21:25:00+00:00
1788485400000,4470.99,4472.99,4469.18,4469.8,2798.0,2026-09-04 01:30:00+00:00,2026-09-03 21:30:00+00:00
1788485700000,4469.81,4476.81,4468.2,4473.48,2460.0,2026-09-04 01:35:00+00:00,2026-09-03 21:35:00+00:00
1788486000000,4473.49,4476.88,4471.08,4473.98,2287.0,2026-09-04 01:40:00+00:00,2026-09-03 21:40:00+00:00
1788486300000,4473.94,4473.97,4467.06,4468.8,2172.0,2026-09-04 01:45:00+00:00,2026-09-03 21:45:00+00:00
1788486600000,4468.79,4473.96,4468.1,4473.61,1976.0,2026-09-04 01:50:00+00:00,2026-09-03 21:50:00+00:00
1788486900000,4473.6,4480.57,4473.54,4478.89,2132.0,2026-09-04 01:55:00+00:00,2026-09-03 21:55:00+00:00
1788487200000,4478.94,4482.64,4478.51,4480.75,1899.0,2026-09-04 02:00:00+00:00,2026-09-03 22:00:00+00:00
1788487500000,4480.7,4480.86,4477.59,4478.76,1671.0,2026-09-04 02:05:00+00:00,2026-09-03 22:05:00+00:00
1788487800000,4478.8,4480.31,4477.25,4479.46,1741.0,2026-09-04 02:10:00+00:00,2026-09-03 22:10:00+00:00
1788488100000,4479.39,4480.3,4477.15,4478.56,1163.0,2026-09-04 02:15:00+00:00,2026-09-03 22:15:00+00:00
1788488400000,4478.59,4478.61,4473.97,4477.12,1267.0,2026-09-04 02:20:00+00:00,2026-09-03 22:20:00+00:00
1788488700000,4477.14,4477.67,4471.59,4473.98,1593.0,2026-09-04 02:25:00+00:00,2026-09-03 22:25:00+00:00
1788489000000,4473.97,4476.06,4470.96,4471.04,2813.0,2026-09-04 02:30:00+00:00,2026-09-03 22:30:00+00:00
1788489300000,4471.04,4477.32,4470.37,4476.54,1779.0,2026-09-04 02:35:00+00:00,2026-09-03 22:35:00+00:00
1788489600000,4476.56,4477.33,4470.93,4470.96,1935.0,2026-09-04 02:40:00+00:00,2026-09-03 22:40:00+00:00
1788489900000,4470.92,4476.07,4470.28,4475.99,1667.0,2026-09-04 02:45:00+00:00,2026-09-03 22:45:00+00:00
1788490200000,4476.01,4479.55,4475.35,4479.55,1712.0,2026-09-04 02:50:00+00:00,2026-09-03 22:50:00+00:00
1788490500000,4479.57,4480.94,4475.97,4477.51,1554.0,2026-09-04 02:55:00+00:00,2026-09-03 22:55:00+00:00
1788490800000,4477.52,4478.75,4475.77,4476.17,1634.0,2026-09-04 03:00:00+00:00,2026-09-03 23:00:00+00:00
1788491100000,4476.16,4476.18,4471.57,4471.99,1800.0,2026-09-04 03:05:00+00:00,2026-09-03 23:05:00+00:00
1788491400000,4471.86,4473.58,4470.29,4473.42,1388.0,2026-09-04 03:10:00+00:00,2026-09-03 23:10:00+00:00
1788491700000,4473.45,4474.29,4471.47,4473.0,1233.0,2026-09-04 03:15:00+00:00,2026-09-03 23:15:00+00:00
1788492000000,4472.96,4474.66,4472.11,4473.77,1415.0,2026-09-04 03:20:00+00:00,2026-09-03 23:20:00+00:00
1788492300000,4473.78,4474.49,4471.89,4472.47,1282.0,2026-09-04 03:25:00+00:00,2026-09-03 23:25:00+00:00
1788492600000,4472.48,4475.3,4472.24,4474.82,1458.0,2026-09-04 03:30:00+00:00,2026-09-03 23:30:00+00:00
1788492900000,4474.82,4474.98,4472.57,4472.91,825.0,2026-09-04 03:35:00+00:00,2026-09-03 23:35:00+00:00
1788493200000,4472.9,4473.24,4469.21,4469.4,1171.0,2026-09-04 03:40:00+00:00,2026-09-03 23:40:00+00:00
1788493500000,4469.36,4470.11,4469.04,4469.32,1046.0,2026-09-04 03:45:00+00:00,2026-09-03 23:45:00+00:00
1788493800000,4469.34,4470.15,4467.63,4469.55,1130.0,2026-09-04 03:50:00+00:00,2026-09-03 23:50:00+00:00
1788494100000,4469.56,4469.95,4467.07,4467.08,836.0,2026-09-04 03:55:00+00:00,2026-09-03 23:55:00+00:00
1788494400000,4467.07,4469.33,4465.53,4468.9,1745.0,2026-09-04 04:00:00+00:00,2026-09-04 00:00:00+00:00
1788494700000,4468.9,4469.85,4467.35,4468.17,1070.0,2026-09-04 04:05:00+00:00,2026-09-04 00:05:00+00:00
1788495000000,4468.17,4470.08,4467.61,4469.3,1056.0,2026-09-04 04:10:00+00:00,2026-09-04 00:10:00+00:00
1788495300000,4469.28,4469.7,4468.44,4469.6,813.0,2026-09-04 04:15:00+00:00,2026-09-04 00:15:00+00:00
1788495600000,4469.58,4470.43,4468.67,4470.15,814.0,2026-09-04 04:20:00+00:00,2026-09-04 00:20:00+00:00
1788495900000,4470.16,4472.41,4469.04,4471.68,988.0,2026-09-04 04:25:00+00:00,2026-09-04 00:25:00+00:00
